mode,ship_date,ship_date_time,delivery_date,delivery_date_time,hours,ship_from,ship_from_coords,ice_customer_name,ship_to,ship_to_coords,number_of_pallets
LTL,2023-10-02,2023-10-02 13:00:00,2023-10-10,2023-10-10 9:00:00,188,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Best Buy,"Dublin, GA","[-82.928,32.536]",0.65
PCL,2023-07-19,2023-07-19 11:00:00,2023-07-21,2023-07-21 6:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Charlotte, NC","[-80.8303,35.2083]",0.11
PCL,2023-07-26,2023-07-26 13:00:00,2023-07-28,2023-07-28 10:00:00,45,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Hope Mills, NC","[-78.9597,34.971]",0.08
PCL,2023-09-14,2023-09-14 11:00:00,2023-09-18,2023-09-18 10:00:00,95,"Carol Stream, IL","[-88.1307,41.9181]",Target,"West Jefferson, OH","[-83.3076,39.9475]",0.08
PCL,2023-08-16,2023-08-16 14:00:00,2023-08-18,2023-08-18 2:00:00,36,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"New Braunfels, TX","[-98.1148,29.6994]",0.01
PCL,2023-10-17,2023-10-17 7:00:00,2023-10-18,2023-10-18 7:00:00,24,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Hazleton, PA","[-75.9725,40.9505]",0
PCL,2023-10-23,2023-10-23 17:00:00,2023-10-25,2023-10-25 12:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Phoenix, AZ","[-112.0892,33.5722]",0.02
PCL,2023-10-13,2023-10-13 12:00:00,2023-10-19,2023-10-19 10:00:00,142,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot (Store),"Topeka, KS","[-95.6955,39.0346]",0.33
FTL,2023-09-01,2023-09-01 11:00:00,2023-09-04,2023-09-04 10:00:00,71,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Stuarts Draft, VA","[-79.0354,38.0188]",0.27
FTL,2023-08-03,2023-08-03 7:00:00,2023-08-04,2023-08-04 1:00:00,18,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Greenfield, IN","[-85.7738,39.7937]",1.57
LTL,2023-07-11,2023-07-11 16:00:00,2023-07-17,2023-07-17 7:00:00,135,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Topeka, KS","[-95.6955,39.0346]",0.8
LTL,2023-08-08,2023-08-08 16:00:00,2023-08-14,2023-08-14 10:00:00,138,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Houston, TX","[-95.3885,29.786]",2.07
LTL,2023-09-01,2023-09-01 15:00:00,2023-09-07,2023-09-07 4:00:00,133,"Carol Stream, IL","[-88.1307,41.9181]",TD Synnex Corporation,"Monroe Township, NJ","[-74.4330, 40.3364]",3.66
LTL,2023-07-20,2023-07-20 15:00:00,2023-07-26,2023-07-26 17:00:00,146,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Woodland, CA","[-121.75,38.6712]",0.38
LTL,2023-08-03,2023-08-03 14:00:00,2023-08-07,2023-08-07 17:00:00,99,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Woodland, CA","[-121.75,38.6712]",0.46
PCL,2023-07-11,2023-07-11 15:00:00,2023-07-17,2023-07-17 8:00:00,137,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Plainview, TX","[-101.7235,34.1911]",0.02
PCL,2023-08-01,2023-08-01 9:00:00,2023-08-03,2023-08-03 7:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Tyler, TX","[-95.3062,32.3184]",0.53
PCL,2023-10-17,2023-10-17 16:00:00,2023-10-20,2023-10-20 8:00:00,64,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Raymond, NH","[-71.1834, 43.0362]",0.03
PCL,2023-10-10,2023-10-10 16:00:00,2023-10-13,2023-10-13 13:00:00,69,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Hermiston, OR","[-119.2854,45.8326]",0.08
PCL,2023-09-26,2023-09-26 15:00:00,2023-09-27,2023-09-27 6:00:00,15,"Carol Stream, IL","[-88.1307,41.9181]",Verizon,"Coatesville, PA","[-75.82,39.9849]",0.82
PCL,2023-07-20,2023-07-20 10:00:00,2023-07-21,2023-07-21 15:00:00,29,"Carol Stream, IL","[-88.1307,41.9181]",AT&T Mobility LLC,"Fort Worth, TX","[-97.3474,32.7817]",0.01
PCL,2023-07-28,2023-07-28 6:00:00,2023-07-31,2023-07-31 14:00:00,80,"Carol Stream, IL","[-88.1307,41.9181]",Best Buy,"Dinuba, CA","[-119.3987,36.5453]",6.31
LTL,2023-07-31,2023-07-31 12:00:00,2023-08-02,2023-08-02 4:00:00,40,"Carol Stream, IL","[-88.1307,41.9181]",TD Synnex Corporation,"Columbus, OH","[-82.9855,39.9862]",3.16
LTL,2023-10-10,2023-10-10 14:00:00,2023-10-12,2023-10-12 14:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Tyler, TX","[-95.3062,32.3184]",0.89
LTL,2023-10-18,2023-10-18 12:00:00,2023-10-23,2023-10-23 7:00:00,115,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Westfield, MA","[-72.7561,42.1382]",2.18
PCL,2023-10-05,2023-10-05 14:00:00,2023-10-09,2023-10-09 12:00:00,94,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Dallas, TX","[-96.7667,32.7935]",0
PCL,2023-08-22,2023-08-22 12:00:00,2023-08-25,2023-08-25 8:00:00,68,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Smyrna, DE","[-75.6083,39.2935]",0.02
PCL,2023-09-14,2023-09-14 11:00:00,2023-09-15,2023-09-15 7:00:00,20,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Galesburg, MI","[-85.4182,42.2911]",0.04
PCL,2023-09-26,2023-09-26 15:00:00,2023-09-28,2023-09-28 8:00:00,41,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Brookhaven, MS","[-90.4432,31.5803]",0.04
PCL,2023-09-26,2023-09-26 16:00:00,2023-09-28,2023-09-28 11:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Van Buren, OH","[-83.6494,41.1387]",0.2
PCL,2023-09-26,2023-09-26 20:00:00,2023-09-28,2023-09-28 8:00:00,36,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Joliet, IL","[-88.1499,41.5188]",0.65
PCL,2023-08-08,2023-08-08 13:00:00,2023-08-14,2023-08-14 6:00:00,137,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Galesburg, MI","[-85.4182,42.2911]",0.07
FTL,2023-07-07,2023-07-07 7:00:00,2023-07-10,2023-07-10 14:00:00,79,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Chesapeake, VA","[-76.3023,36.6778]",0.01
FTL,2023-10-04,2023-10-04 13:00:00,2023-10-06,2023-10-06 4:00:00,39,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Verizon,"Fort Worth, TX","[-97.3474,32.7817]",0.36
FTL,2023-10-06,2023-10-06 11:00:00,2023-10-09,2023-10-09 6:00:00,67,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Chesapeake, VA","[-76.3023,36.6778]",0.24
LTL,2023-07-17,2023-07-17 18:00:00,2023-07-21,2023-07-21 8:00:00,86,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Pittston Township, PA","[-75.7230, 41.3029]",2.42
PCL,2023-07-01,2023-07-01 9:00:00,2023-07-06,2023-07-06 11:00:00,122,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Mt. Crawford, VA","[-78.9409, 38.3571]",0.12
PCL,2023-07-20,2023-07-20 17:00:00,2023-07-24,2023-07-24 7:00:00,86,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Albany, OR","[-123.0965,44.6272]",0.06
PCL,2023-08-02,2023-08-02 11:00:00,2023-08-04,2023-08-04 11:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Woodland, CA","[-121.75,38.6712]",0.19
PCL,2023-07-26,2023-07-26 15:00:00,2023-07-28,2023-07-28 11:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Brooksville, FL","[-82.3903,28.5404]",0.01
PCL,2023-08-16,2023-08-16 11:00:00,2023-08-17,2023-08-17 7:00:00,20,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Luckey, OH","[-83.4839,41.4525]",0.05
PCL,2023-09-05,2023-09-05 17:00:00,2023-09-07,2023-09-07 8:00:00,39,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Smyrna, DE","[-75.6083,39.2935]",0.14
PCL,2023-09-06,2023-09-06 12:00:00,2023-09-08,2023-09-08 10:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Target,"West Jefferson, OH","[-83.3076,39.9475]",0.02
PCL,2023-07-07,2023-07-07 16:00:00,2023-07-11,2023-07-11 11:00:00,91,"Carol Stream, IL","[-88.1307,41.9181]",DH Commerce,"Jamaica, NY","[-73.7992, 40.7037]",1.57
LTL,2023-07-20,2023-07-20 15:00:00,2023-07-31,2023-07-31 8:00:00,257,"Carol Stream, IL","[-88.1307,41.9181]",Stockmarket / Ferguson Enterprises,"Frostproof, FL","[-81.5252,27.7494]",0.16
LTL,2023-08-01,2023-08-01 14:00:00,2023-08-07,2023-08-07 10:00:00,140,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Houston, TX","[-95.3885,29.786]",1.88
PCL,2023-07-13,2023-07-13 17:00:00,2023-07-18,2023-07-18 6:00:00,109,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Amsterdam, NY","[-74.1906,42.942]",0.25
PCL,2023-08-01,2023-08-01 18:00:00,2023-08-04,2023-08-04 12:00:00,66,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Tolleson, AZ","[-112.256,33.4484]",0.03
PCL,2023-08-08,2023-08-08 14:00:00,2023-08-10,2023-08-10 10:00:00,44,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Midway, TN","[-82.9962, 36.1766]",0.03
PCL,2023-07-31,2023-07-31 13:00:00,2023-08-07,2023-08-07 6:00:00,161,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Stuarts Draft, VA","[-79.0354,38.0188]",0.01
LTL,2023-08-23,2023-08-23 16:00:00,2023-09-05,2023-09-05 7:00:00,303,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Stockmarket / Ferguson Enterprises,"Waterloo, IA","[-92.3522,42.4918]",1.09
PCL,2023-07-05,2023-07-05 13:00:00,2023-07-10,2023-07-10 10:00:00,117,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Charlotte, NC","[-80.8303,35.2083]",0.15
PCL,2023-07-05,2023-07-05 18:00:00,2023-07-11,2023-07-11 5:00:00,131,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"West Columbia, SC","[-81.0936,33.9932]",0.67
PCL,2023-08-08,2023-08-08 12:00:00,2023-08-11,2023-08-11 9:00:00,69,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Ft Pierce, FL","[-80.3256, 27.4467]",0.05
PCL,2023-08-07,2023-08-07 11:00:00,2023-08-10,2023-08-10 7:00:00,68,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot (Store),"Joliet, IL","[-88.1499,41.5188]",0.02
LTL,2023-10-26,2023-10-26 12:00:00,2023-11-01,2023-11-01 0:00:00,132,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Woodland, CA","[-121.75,38.6712]",1.53
PCL,2023-08-09,2023-08-09 16:00:00,2023-08-14,2023-08-14 9:00:00,113,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Douglas, GA","[-82.8544,31.5065]",0.01
PCL,2023-07-12,2023-07-12 14:00:00,2023-07-14,2023-07-14 11:00:00,45,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Brooksville, FL","[-82.3903,28.5404]",0.01
FTL,2023-08-09,2023-08-09 13:00:00,2023-08-11,2023-08-11 7:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",SUMA DISTRIBUTORS LLC,"Miami, FL","[-80.2101,25.784]",50.83
LTL,2023-07-19,2023-07-19 12:00:00,2023-07-24,2023-07-24 15:00:00,123,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Gansevoort, NY","[-73.6518, 43.1962]",1.29
LTL,2023-10-18,2023-10-18 14:00:00,2023-10-20,2023-10-20 13:00:00,47,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Gansevoort, NY","[-73.6518, 43.1962]",0.74
LTL,2023-08-23,2023-08-23 13:00:00,2023-09-01,2023-09-01 8:00:00,211,"Rancho Cucamonga, CA","[-117.5667,34.1247]",TD Synnex Corporation,"Southaven, MS","[-89.9786,34.9514]",3.13
PCL,2023-08-22,2023-08-22 14:00:00,2023-08-24,2023-08-24 9:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Topeka, KS","[-95.6955,39.0346]",0.01
PCL,2023-07-11,2023-07-11 20:00:00,2023-07-14,2023-07-14 11:00:00,63,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Mt. Crawford, VA","[-78.9409, 38.3571]",0.03
PCL,2023-07-24,2023-07-24 15:00:00,2023-07-31,2023-07-31 8:00:00,161,"Rancho Cucamonga, CA","[-117.5667,34.1247]",TD Synnex Corporation,"Southaven, MS","[-89.9786,34.9514]",0.11
PCL,2023-07-27,2023-07-27 12:00:00,2023-07-28,2023-07-28 10:00:00,22,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Fontana, CA","[-117.4599,34.0968]",0.1
LTL,2023-09-29,2023-09-29 16:00:00,2023-10-05,2023-10-05 13:00:00,141,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Chambersburg, PA","[-77.6556,39.9315]",0.47
PCL,2023-08-09,2023-08-09 13:00:00,2023-08-14,2023-08-14 8:00:00,115,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Plant City, FL","[-82.1201,28.014]",0
PCL,2023-07-05,2023-07-05 13:00:00,2023-07-10,2023-07-10 12:00:00,119,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Sealy, TX","[-96.163,29.7662]",0.01
PCL,2023-07-31,2023-07-31 13:00:00,2023-08-07,2023-08-07 11:00:00,166,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Mt. Crawford, VA","[-78.9409, 38.3571]",0.02
PCL,2023-08-16,2023-08-16 12:00:00,2023-08-18,2023-08-18 9:00:00,45,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Grantsville, UT","[-112.4777,40.6148]",0.05
PCL,2023-10-19,2023-10-19 14:00:00,2023-10-20,2023-10-20 14:00:00,24,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Apple Valley, CA","[-117.2109,34.5352]",0.51
FTL,2023-08-30,2023-08-30 12:00:00,2023-09-03,2023-09-03 17:00:00,101,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Rialto, CA","[-117.3892,34.1175]",4.85
LTL,2023-10-09,2023-10-09 8:00:00,2023-10-12,2023-10-12 13:00:00,77,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Amsterdam, NY","[-74.1906,42.942]",0.1
PCL,2023-10-26,2023-10-26 13:00:00,2023-10-27,2023-10-27 8:00:00,19,"Carol Stream, IL","[-88.1307,41.9181]",T-mobile,"Coppell, TX","[-96.9903,32.9639]",0.04
PCL,2023-09-05,2023-09-05 17:00:00,2023-09-07,2023-09-07 10:00:00,41,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Douglas, GA","[-82.8544,31.5065]",0.07
PCL,2023-09-25,2023-09-25 10:00:00,2023-09-29,2023-09-29 9:00:00,95,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Houston, TX","[-95.3885,29.786]",0.06
PCL,2023-08-24,2023-08-24 13:00:00,2023-08-28,2023-08-28 11:00:00,94,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Beaver Dam, WI","[-88.8309,43.4688]",0.02
PCL,2023-10-05,2023-10-05 14:00:00,2023-10-06,2023-10-06 14:00:00,24,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Porterville, CA","[-119.0338,36.0643]",0.01
FTL,2023-08-29,2023-08-29 9:00:00,2023-08-30,2023-08-30 20:00:00,35,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Lake Park, GA","[-83.1873,30.6851]",6.17
PCL,2023-10-13,2023-10-13 13:00:00,2023-10-17,2023-10-17 7:00:00,90,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"West Columbia, SC","[-81.0936,33.9932]",0.09
PCL,2023-09-14,2023-09-14 9:00:00,2023-09-18,2023-09-18 12:00:00,99,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Phoenix, AZ","[-112.0892,33.5722]",0.03
LTL,2023-08-03,2023-08-03 13:00:00,2023-08-09,2023-08-09 6:00:00,137,"Rancho Cucamonga, CA","[-117.5667,34.1247]",TD Synnex Corporation,"Chino, CA","[-117.6654,33.9836]",5.43
PCL,2023-09-13,2023-09-13 16:00:00,2023-09-15,2023-09-15 10:00:00,42,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Midway, GA","[-81.419,31.8003]",0.02
PCL,2023-08-16,2023-08-16 13:00:00,2023-08-17,2023-08-17 7:00:00,18,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Beaver Dam, WI","[-88.8309,43.4688]",0.03
PCL,2023-08-15,2023-08-15 16:00:00,2023-08-18,2023-08-18 12:00:00,68,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Home Depot (Store),"Tolleson, AZ","[-112.256,33.4484]",0.24
PCL,2023-10-16,2023-10-16 9:00:00,2023-10-17,2023-10-17 10:00:00,25,"Carol Stream, IL","[-88.1307,41.9181]",AT&T Mobility LLC,"Plainfield, IN","[-86.3716,39.6954]",0.83
PCL,2023-07-12,2023-07-12 16:00:00,2023-07-13,2023-07-13 13:00:00,21,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Beaver Dam, WI","[-88.8309,43.4688]",0.05
PCL,2023-09-06,2023-09-06 11:00:00,2023-09-08,2023-09-08 10:00:00,47,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Stockton, CA","[-121.3109,37.9765]",0.04
LTL,2023-08-31,2023-08-31 13:00:00,2023-09-08,2023-09-08 17:00:00,196,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Stockmarket / Ferguson Enterprises,"Perris, CA","[-117.2233,33.7898]",1.85
PCL,2023-08-16,2023-08-16 9:00:00,2023-08-18,2023-08-18 8:00:00,47,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Dallas, TX","[-96.7667,32.7935]",0.1
PCL,2023-09-26,2023-09-26 12:00:00,2023-09-28,2023-09-28 7:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Chambersburg, PA","[-77.6556,39.9315]",0.11
PCL,2023-08-09,2023-08-09 17:00:00,2023-08-16,2023-08-16 7:00:00,158,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Smyrna, DE","[-75.6083,39.2935]",0.07
PCL,2023-08-17,2023-08-17 8:00:00,2023-08-23,2023-08-23 7:00:00,143,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Stockmarket / Ferguson Enterprises,"Waterloo, IA","[-92.3522,42.4918]",0.02
LTL,2023-10-19,2023-10-19 14:00:00,2023-10-20,2023-10-20 16:00:00,26,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Cedar Falls, IA","[-92.4536,42.5195]",0.53
PCL,2023-07-11,2023-07-11 13:00:00,2023-07-13,2023-07-13 11:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Midway, GA","[-81.419,31.8003]",0.13
PCL,2023-09-15,2023-09-15 12:00:00,2023-09-18,2023-09-18 10:00:00,70,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Fontana, CA","[-117.4599,34.0968]",0.04
LTL,2023-07-07,2023-07-07 13:00:00,2023-07-12,2023-07-12 7:00:00,114,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot.com,"Luckey, OH","[-83.4839,41.4525]",0.71
PCL,2023-07-11,2023-07-11 19:00:00,2023-07-14,2023-07-14 12:00:00,65,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Woodland, PA","[-78.3414, 40.9984]",0.04
PCL,2023-08-22,2023-08-22 13:00:00,2023-08-24,2023-08-24 8:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Ottawa, KS","[-95.2636,38.5996]",0.01
PCL,2023-08-24,2023-08-24 13:00:00,2023-08-28,2023-08-28 7:00:00,90,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Smyrna, DE","[-75.6083,39.2935]",0.05
PCL,2023-09-29,2023-09-29 14:00:00,2023-10-02,2023-10-02 4:00:00,62,"Carol Stream, IL","[-88.1307,41.9181]",Best Buy,"Nichols, NY","[-76.3669, 42.0217]",10.06
LTL,2023-08-16,2023-08-16 18:00:00,2023-08-21,2023-08-21 14:00:00,116,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Lagrange, GA","[-85.0384,33.0274]",0.39
LTL,2023-07-27,2023-07-27 16:00:00,2023-08-01,2023-08-01 9:00:00,113,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Rialto, CA","[-117.3892,34.1175]",0.45
PCL,2023-07-26,2023-07-26 14:00:00,2023-07-28,2023-07-28 12:00:00,46,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Woodland, PA","[-78.3414, 40.9984]",0.08
PCL,2023-07-27,2023-07-27 18:00:00,2023-08-01,2023-08-01 9:00:00,111,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Midway, GA","[-81.419,31.8003]",0.02
PCL,2023-08-17,2023-08-17 9:00:00,2023-08-21,2023-08-21 18:00:00,105,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Red Bluff, CA","[-122.2413,40.1735]",0.02
PCL,2023-07-10,2023-07-10 13:00:00,2023-07-17,2023-07-17 13:00:00,168,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Wal-Mart US,"Woodland, PA","[-78.3414, 40.9984]",0.06
PCL,2023-07-25,2023-07-25 11:00:00,2023-07-31,2023-07-31 9:00:00,142,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Cedar Falls, IA","[-92.4536,42.5195]",0.03
PCL,2023-09-12,2023-09-12 16:00:00,2023-09-14,2023-09-14 11:00:00,43,"Carol Stream, IL","[-88.1307,41.9181]",Wal-Mart US,"Tobyhanna, PA","[-75.4179, 41.1798]",0.05
LTL,2023-07-18,2023-07-18 16:00:00,2023-07-21,2023-07-21 8:00:00,64,"Rancho Cucamonga, CA","[-117.5667,34.1247]",ADT - US,"Springville, UT","[-111.6205,40.1638]",7
LTL,2023-08-17,2023-08-17 15:00:00,2023-08-25,2023-08-25 9:00:00,186,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Stockmarket / Ferguson Enterprises,"Stockton, CA","[-121.3109,37.9765]",1.57
LTL,2023-08-23,2023-08-23 13:00:00,2023-08-24,2023-08-24 19:00:00,30,"Rancho Cucamonga, CA","[-117.5667,34.1247]",ADT - US,"Springville, UT","[-111.6205,40.1638]",2
PCL,2023-09-05,2023-09-05 15:00:00,2023-09-08,2023-09-08 10:00:00,67,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Tolleson, AZ","[-112.256,33.4484]",0.11
